Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Edu Expósito,es ESP,MF,Espanyol,29-201,1996,23,20,1570,17.4,0,5,5,0,0,0,4,0,0.00,0.29,0.29,0.00,0.29,Matches
Abde Ezzalzouli,ma MAR,"MF,FW",Real Betis,24-063,2001,15,13,1140,12.7,5,4,9,5,0,0,2,0,0.39,0.32,0.71,0.39,0.71,Matches
Omar Falah,es ESP,DF,Oviedo,22-162,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleix Febas,es ESP,MF,Elche,30-016,1996,23,23,2058,22.9,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,Matches
Luiz Felipe,it ITA,DF,Rayo Vallecano,28-333,1997,8,5,290,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kiko Femenía,es ESP,"DF,MF",Getafe,35-016,1991,19,17,1396,15.5,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Dro Fernández,es ESP,MF,Barcelona,18-037,2008,4,1,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Manu Fernández,es ESP,DF,Celta Vigo,24-301,2001,12,9,707,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Pelayo Fernandez,es ESP,DF,Rayo Vallecano,22-295,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Roberto Férnandez,es ESP,FW,Espanyol,23-230,2002,24,19,1727,19.2,5,2,7,4,1,1,1,0,0.26,0.10,0.36,0.21,0.31,Matches
Thiago Fernández,ar ARG,MF,Oviedo,21-321,2004,2,0,61,0.7,0,1,1,0,0,0,1,0,0.00,1.48,1.48,0.00,1.48,Matches
Toni Fernández,es ESP,FW,Barcelona,17-218,2008,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Álvaro Fidalgo,es ESP,MF,Real Betis,28-315,1997,2,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Junior Firpo,do DOM,DF,Real Betis,29-180,1996,8,6,539,6.0,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
Nicolas Fonseca,uy URU,MF,Oviedo,27-122,1998,6,0,143,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Álex Forés,es ESP,FW,Oviedo,24-312,2001,13,2,284,3.2,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches
Pablo Fornals,es ESP,MF,Real Betis,29-361,1996,24,23,1938,21.5,6,4,10,6,0,0,1,0,0.28,0.19,0.46,0.28,0.46,Matches
Héctor Fort,es ESP,"DF,MF",Elche,19-200,2006,9,5,327,3.6,1,2,3,1,0,0,0,0,0.28,0.55,0.83,0.28,0.83,Matches
Dimitri Foulquier,fr FRA,DF,Valencia,32-332,1993,15,12,1150,12.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Juan Foyth,ar ARG,DF,Villarreal,28-037,1998,13,12,934,10.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Alejandro Francés,es ESP,DF,Girona,23-201,2002,14,5,486,5.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Alex Freeman,us USA,DF,Villarreal,21-193,2004,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,28-363,1997,21,21,1503,16.7,7,1,8,7,0,0,2,0,0.42,0.06,0.48,0.42,0.48,Matches
Javi Galán,es ESP,DF,Osasuna,31-091,1994,7,7,614,6.8,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Javi Galán,es ESP,DF,Atlético Madrid,31-091,1994,5,1,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,32-196,1993,22,20,1408,15.6,1,1,2,1,0,0,10,0,0.06,0.06,0.13,0.06,0.13,Matches
Conor Gallagher,eng ENG,MF,Atlético Madrid,26-012,2000,19,4,679,7.5,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
Facundo Garcés,my MAS,DF,Alavés,26-166,1999,9,8,765,8.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Álvaro García,es ESP,"MF,FW",Rayo Vallecano,33-114,1992,23,18,1606,17.8,3,4,7,3,0,0,3,0,0.17,0.22,0.39,0.17,0.39,Matches
Eric García,es ESP,"DF,MF",Barcelona,25-040,2001,24,22,1900,21.1,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
Fran Garcia,es ESP,"DF,MF",Real Madrid,26-188,1999,7,5,414,4.6,1,0,1,1,0,0,2,1,0.22,0.00,0.22,0.22,0.22,Matches
Gonzalo García,es ESP,FW,Real Madrid,21-331,2004,19,5,523,5.8,4,0,4,4,0,0,1,0,0.69,0.00,0.69,0.69,0.69,Matches
Hugo García,es ESP,MF,Celta Vigo,19-110,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Joan García,es ESP,GK,Barcelona,24-290,2001,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Garcia,es ESP,MF,Real Betis,19-250,2006,14,2,372,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rubén García,es ESP,"MF,FW",Osasuna,32-219,1993,22,16,1350,15.0,2,5,7,2,0,0,4,0,0.13,0.33,0.47,0.13,0.47,Matches
Víctor García,es ESP,MF,Levante,28-155,1997,10,4,351,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Federico Gattoni,ar ARG,DF,Sevilla,27-002,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gavi,es ESP,"FW,MF",Barcelona,21-197,2004,2,0,67,0.7,0,1,1,0,0,0,0,0,0.00,1.34,1.34,0.00,1.34,Matches
Paulo Gazzaniga,ar ARG,GK,Girona,34-047,1992,21,21,1842,20.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Mourad El Ghezouani,ma MAR,FW,Elche,27-267,1998,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bryan Gil,es ESP,MF,Girona,25-007,2001,21,15,1202,13.4,0,3,3,0,0,0,4,0,0.00,0.22,0.22,0.00,0.22,Matches
Moi Gómez,es ESP,MF,Osasuna,31-240,1994,17,10,911,10.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Gómez,es ESP,DF,Real Sociedad,25-167,2000,22,18,1612,17.9,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
Unai Gómez,es ESP,"MF,FW",Athletic Club,22-269,2003,16,4,485,5.4,1,1,2,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches
Valentín Gómez,ar ARG,DF,Real Betis,22-237,2003,17,11,1105,12.3,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Nicolás González,ar ARG,"MF,DF",Atlético Madrid,27-318,1998,18,15,1125,12.5,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
Urko González,es ESP,MF,Espanyol,24-335,2001,22,15,1460,16.2,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
Urko González,es ESP,"DF,MF",Real Sociedad,24-335,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andoni Gorosabel,es ESP,DF,Athletic Club,29-198,1996,13,8,665,7.4,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
Jon Gorrotxategi,es ESP,MF,Real Sociedad,24-016,2002,22,19,1704,18.9,1,3,4,1,0,0,6,0,0.05,0.16,0.21,0.05,0.21,Matches
Mikel Goti,es ESP,MF,Real Sociedad,23-271,2002,4,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antoine Griezmann,fr FRA,FW,Atlético Madrid,34-334,1991,21,5,767,8.5,6,0,6,6,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,34-094,1991,20,15,1410,15.7,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Gonçalo Guedes,pt POR,MF,Real Sociedad,29-081,1996,24,17,1314,14.6,6,3,9,6,0,0,1,0,0.41,0.21,0.62,0.41,0.62,Matches
Javier Guerra,es ESP,MF,Valencia,23-048,2003,23,13,1075,11.9,0,3,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches
Daniel Guerrero,es ESP,MF,Real Betis,20-207,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ander Guevara,es ESP,MF,Alavés,28-226,1997,16,2,506,5.6,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches
Pape Gueye,sn SEN,MF,Villarreal,27-025,1999,17,13,1136,12.6,2,1,3,2,0,0,6,0,0.16,0.08,0.24,0.16,0.24,Matches
Arda Güler,tr TUR,MF,Real Madrid,20-358,2005,24,19,1523,16.9,3,7,10,3,0,0,1,0,0.18,0.41,0.59,0.18,0.59,Matches
Gerard Gumbau,es ESP,MF,Rayo Vallecano,31-062,1994,16,5,480,5.3,0,1,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches
Jon Guridi,es ESP,"MF,FW",Alavés,30-355,1995,16,7,564,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gorka Guruzeta,es ESP,"FW,MF",Athletic Club,29-159,1996,21,17,1378,15.3,4,1,5,4,0,0,4,1,0.26,0.07,0.33,0.26,0.33,Matches
Dávid Hancko,sk SVK,DF,Atlético Madrid,28-067,1997,23,20,1847,20.5,0,2,2,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
Haissem Hassan,fr FRA,"MF,FW",Oviedo,24-010,2002,22,14,1304,14.5,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Jorge Herrando,es ESP,DF,Osasuna,24-355,2001,20,11,1120,12.4,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
Sergio Herrera,es ESP,GK,Osasuna,32-258,1993,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Yangel Herrera,ve VEN,MF,Girona,28-035,1998,2,2,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yangel Herrera,ve VEN,MF,Real Sociedad,28-035,1998,4,3,156,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Asier Hierro,es ESP,FW,Athletic Club,20-288,2005,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Omar El Hilali,ma MAR,DF,Espanyol,22-159,2003,22,19,1670,18.6,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
Ali Houary,ma MAR,MF,Elche,20-197,2005,2,2,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dean Huijsen,es ESP,DF,Real Madrid,20-310,2005,18,17,1370,15.2,1,2,3,1,0,0,4,1,0.07,0.13,0.20,0.07,0.20,Matches
Pablo Ibáñez,es ESP,MF,Alavés,27-151,1998,24,18,1440,16.0,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches
Stanis Idumbo,be BEL,MF,Sevilla,20-234,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Iglesias,es ESP,"DF,MF",Getafe,27-230,1998,23,22,1954,21.7,1,2,3,1,0,0,2,0,0.05,0.09,0.14,0.05,0.14,Matches
Borja Iglesias,es ESP,FW,Celta Vigo,33-032,1993,22,15,1320,14.7,10,2,12,7,3,3,4,0,0.68,0.14,0.82,0.48,0.61,Matches
Luka Ilić,rs SRB,"MF,FW",Oviedo,26-231,1999,14,6,548,6.1,1,0,1,1,0,0,4,1,0.16,0.00,0.16,0.16,0.16,Matches
Isco,es ESP,"FW,MF",Real Betis,33-303,1992,1,0,31,0.3,0,1,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,Matches
Urko Izeta,es ESP,FW,Athletic Club,26-142,1999,9,1,148,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jairo Izquierdo,es ESP,"DF,FW",Elche,32-119,1993,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adnan Januzaj,be BEL,"MF,FW",Sevilla,31-013,1995,10,2,259,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Jauregizar,es ESP,MF,Athletic Club,22-097,2003,24,24,2018,22.4,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
David Jiménez,es ESP,DF,Real Madrid,21-341,2004,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jofre,es ESP,MF,Espanyol,24-246,2001,16,7,640,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Frenkie de Jong,nl NED,MF,Barcelona,28-282,1997,18,15,1405,15.6,0,4,4,0,0,0,4,1,0.00,0.26,0.26,0.00,0.26,Matches
Joan Jordán,es ESP,MF,Sevilla,31-227,1994,3,0,25,0.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Josan,es ESP,"MF,DF",Elche,36-077,1989,12,4,415,4.6,0,2,2,0,0,0,2,0,0.00,0.43,0.43,0.00,0.43,Matches
Mateo Joseph,es ESP,"MF,FW",Mallorca,22-122,2003,23,15,1329,14.8,2,2,4,2,0,0,2,0,0.14,0.14,0.27,0.14,0.27,Matches
Juanmi,es ESP,"FW,MF",Getafe,32-274,1993,8,0,179,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,25-035,2001,20,20,1800,20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25-221,2000,23,20,1761,19.6,8,5,13,5,3,4,5,0,0.41,0.26,0.66,0.26,0.51,Matches
Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,27-017,1999,16,11,812,9.0,3,1,4,3,0,0,3,0,0.33,0.11,0.44,0.33,0.44,Matches
Abu Kamara,eng ENG,MF,Getafe,22-212,2003,9,1,196,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jon Karrikaburu,es ESP,FW,Real Sociedad,23-152,2002,6,0,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kiké,es ESP,FW,Espanyol,36-085,1989,23,8,943,10.5,4,1,5,3,1,1,3,0,0.38,0.10,0.48,0.29,0.38,Matches
Koke,es ESP,MF,Atlético Madrid,34-041,1992,22,15,1425,15.8,2,2,4,2,0,0,4,0,0.13,0.13,0.25,0.13,0.25,Matches
Luca Koleosho,it ITA,MF,Espanyol,21-156,2004,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jules Koundé,fr FRA,DF,Barcelona,27-098,1998,23,18,1723,19.1,1,2,3,1,0,0,4,0,0.05,0.10,0.16,0.05,0.16,Matches
Lancinet Kourouma,gn GUI,FW,Girona,21-325,2004,5,0,43,0.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Goduine Koyalipou,cf CTA,FW,Levante,26-003,2000,11,2,247,2.7,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches
Vladyslav Krapyvtsov,ua UKR,GK,Girona,20-238,2005,2,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ladislav Krejčí,cz CZE,DF,Girona,26-304,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Takefusa Kubo,jp JPN,MF,Real Sociedad,24-259,2001,18,13,1179,13.1,2,3,5,2,0,0,0,0,0.15,0.23,0.38,0.15,0.38,Matches
Marash Kumbulla,al ALB,DF,Mallorca,26-010,2000,7,5,420,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Adrián de la Fuente,es ESP,DF,Levante,26-357,1999,20,17,1556,17.3,2,1,3,1,1,1,4,0,0.12,0.06,0.17,0.06,0.12,Matches
Yoel Lago,es ESP,DF,Celta Vigo,21-330,2004,4,4,333,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Aymeric Laporte,es ESP,DF,Athletic Club,31-267,1994,13,12,1039,11.5,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
Toni Lato,es ESP,"DF,MF",Mallorca,28-089,1997,7,4,308,3.4,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches
Robin Le Normand,es ESP,DF,Atlético Madrid,29-099,1996,18,11,1191,13.2,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
Florian Lejeune,fr FRA,DF,Rayo Vallecano,34-274,1991,23,23,2060,22.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Youssef Lekhedim,es ESP,"DF,MF",Alavés,20-134,2005,18,9,926,10.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Iñigo Lekue,es ESP,DF,Athletic Club,32-290,1993,7,5,355,3.9,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
Thomas Lemar,fr FRA,MF,Girona,30-098,1995,15,8,781,8.7,2,1,3,2,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matches
Ruben Lendinez,es ESP,DF,Valencia,22-341,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Clément Lenglet,fr FRA,DF,Atlético Madrid,30-246,1995,11,11,837,9.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Robert Lewandowski,pl POL,FW,Barcelona,37-181,1988,19,9,941,10.5,10,1,11,9,1,3,2,0,0.96,0.10,1.05,0.86,0.96,Matches
Adrián Liso,es ESP,"FW,MF",Getafe,20-322,2005,20,17,1350,15.0,3,0,3,3,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
Javier Llabrés,es ESP,MF,Mallorca,23-160,2002,12,1,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Diego Llorente,es ESP,DF,Real Betis,32-186,1993,7,5,337,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,31-019,1995,20,19,1616,18.0,0,3,3,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,Matches
Giovani Lo Celso,ar ARG,MF,Real Betis,29-315,1996,17,11,1094,12.2,2,2,4,2,0,0,3,0,0.16,0.16,0.33,0.16,0.33,Matches
Ademola Lookman,ng NGA,FW,Atlético Madrid,28-121,1997,2,1,97,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
David López,es ESP,DF,Mallorca,23-015,2003,5,5,421,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
David López,es ESP,DF,Girona,36-132,1989,3,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Diego López,es ESP,"MF,FW",Valencia,23-281,2002,22,15,1289,14.3,3,0,3,3,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
Fer López,es ESP,"MF,FW",Celta Vigo,21-270,2004,3,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fermin López,es ESP,MF,Barcelona,22-283,2003,18,11,1072,11.9,4,5,9,4,0,0,2,0,0.34,0.42,0.76,0.34,0.76,Matches
Hugo López,es ESP,MF,Villarreal,19-048,2007,2,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Javi López,es ESP,DF,Oviedo,23-330,2002,11,8,662,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pau López,es ESP,GK,Real Betis,31-067,1994,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Unai López,es ESP,MF,Rayo Vallecano,30-111,1995,17,14,1035,11.5,0,3,3,0,0,0,7,1,0.00,0.26,0.26,0.00,0.26,Matches
Iker Losada,es ESP,MF,Levante,24-201,2001,12,5,418,4.6,2,0,2,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches
Pol Lozano,es ESP,MF,Espanyol,26-135,1999,22,20,1564,17.4,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Sergio Lozano,es ESP,MF,Levante,26-331,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oier Luengo,es ESP,DF,Oviedo,28-099,1997,3,3,225,2.5,0,1,1,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches
José Luis Gayà,es ESP,DF,Valencia,30-269,1995,20,19,1546,17.2,1,1,2,1,0,0,5,1,0.06,0.06,0.12,0.06,0.12,Matches
José Luis Morales,es ESP,MF,Levante,38-210,1987,17,1,299,3.3,1,1,2,0,1,1,1,0,0.30,0.30,0.60,0.00,0.30,Matches
Dodi Lukebakio,be BEL,MF,Sevilla,28-147,1997,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Zito Luvumbo,ao ANG,"FW,MF",Mallorca,23-346,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Macià,es ESP,MF,Villarreal,17-170,2008,4,0,81,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Maffeo,es ESP,DF,Mallorca,28-221,1997,19,18,1621,18.0,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Aitor Mañas,es ESP,FW,Alavés,23-044,2003,5,0,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcão,br BRA,DF,Sevilla,29-258,1996,13,11,938,10.4,1,0,1,1,0,0,5,1,0.10,0.00,0.10,0.10,0.10,Matches
José María Giménez,uy URU,DF,Atlético Madrid,31-029,1995,10,9,814,9.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Mariano,do DOM,FW,Alavés,32-201,1993,9,3,281,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,20-319,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rafa Marín,es ESP,DF,Villarreal,23-275,2002,15,14,1316,14.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
Pablo Marín,es ESP,MF,Real Sociedad,22-230,2003,21,10,960,10.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Tomas Marques,es ESP,MF,Barcelona,19-111,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Martín,es ESP,"MF,FW",Rayo Vallecano,23-302,2002,4,3,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Gerard Martín,es ESP,DF,Barcelona,24-048,2002,20,14,1087,12.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Iván Martín,es ESP,MF,Girona,27-004,1999,22,21,1795,19.9,0,1,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,Matches
Jon Martin,es ESP,DF,Real Sociedad,19-301,2006,15,15,1350,15.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Mario Martín,es ESP,"MF,FW",Getafe,21-350,2004,22,20,1445,16.1,2,0,2,2,0,0,8,0,0.12,0.00,0.12,0.12,0.12,Matches
Arnau Martinez,es ESP,"DF,MF",Girona,22-299,2003,21,19,1530,17.0,1,1,2,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches
Joaquín Martínez Gauna,es ESP,"MF,DF",Sevilla,22-224,2003,8,5,554,6.2,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
Pablo Martínez,es ESP,MF,Levante,27-361,1998,17,13,1172,13.0,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches
Ramón Martínez,es ESP,DF,Sevilla,23-119,2002,2,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Toni Martínez,es ESP,FW,Alavés,28-233,1997,23,18,1534,17.0,5,2,7,5,0,0,0,0,0.29,0.12,0.41,0.29,0.41,Matches
Omar Mascarell,gq EQG,MF,Mallorca,33-016,1993,17,13,1157,12.9,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
Franco Mastantuono,ar ARG,"MF,FW",Real Madrid,18-188,2007,15,9,748,8.3,1,0,1,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
Alan Matturro,uy URU,DF,Levante,21-130,2004,10,6,484,5.4,1,0,1,1,0,0,0,1,0.19,0.00,0.19,0.19,0.19,Matches
Neal Maupay,fr FRA,FW,Sevilla,29-188,1996,3,3,237,2.6,1,0,1,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches
Borja Mayoral,es ESP,FW,Getafe,28-319,1997,14,12,1041,11.6,4,1,5,4,0,1,0,0,0.35,0.09,0.43,0.35,0.43,Matches
Kylian Mbappé,fr FRA,FW,Real Madrid,27-060,1998,22,22,1930,21.4,23,4,27,15,8,9,3,0,1.07,0.19,1.26,0.70,0.89,Matches
Brais Méndez,es ESP,"MF,FW",Real Sociedad,29-042,1997,21,15,1233,13.7,5,2,7,4,1,1,3,1,0.36,0.15,0.51,0.29,0.44,Matches
Rodrigo Mendoza,es ESP,"MF,FW",Elche,20-340,2005,16,6,794,8.8,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches
Rodrigo Mendoza,es ESP,MF,Atlético Madrid,20-340,2005,2,2,109,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Batista Mendy,fr FRA,MF,Sevilla,26-037,2000,19,17,1418,15.8,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
