id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
272335952982555.0,TEAM-A415D192,TEAM-BDDFCDFA,56,44,7,19,20,2,0,71,0,0
1350566588958.0,TEAM-550D05AB,,58,42,6,19,29,2,1,50,0,0
57962715965650.0,TEAM-0587F59E,TEAM-93330B41,38,62,4,9,62,8,5,100,0,0
183333492791392.0,,TEAM-0E077100,62,38,3,15,46,6,5,100,0,0
176082216387051.0,TEAM-27AC674B,TEAM-7273A887,61,39,5,10,0,0,0,60,0,0
167585334666101.0,,TEAM-782246EA,38,62,3,14,10,1,1,66,0,0
217440347695720.0,TEAM-7C631724,TEAM-550D05AB,38,62,5,17,50,8,3,40,0,0
73071948011060.0,TEAM-0587F59E,,44,56,3,14,43,3,3,66,0,0
180603293315389.0,TEAM-A4EC0F45,TEAM-51EA86E0,58,42,6,11,50,4,4,50,0,0
2981099111893.0,TEAM-BDDFCDFA,TEAM-B2118D2C,48,52,3,11,25,1,1,66,0,0
226253330782479.0,TEAM-D069E7F8,TEAM-A415D192,37,64,2,9,33,2,2,50,0,0
248180254415866.0,TEAM-93330B41,TEAM-720795A0,58,42,7,23,71,5,3,100,0,0
271746510263835.0,TEAM-839B22B8,TEAM-1C981597,41,59,6,14,45,5,4,66,0,0
22708260528459.0,TEAM-782246EA,TEAM-51EA86E0,47,53,4,9,21,3,1,75,0,0
42666257678967.0,,TEAM-BDDFCDFA,46,54,6,10,15,2,1,66,0,0
239227505105338.0,TEAM-0E077100,TEAM-A4EC0F45,42,58,8,15,0,0,0,62,0,0
132554873973078.0,TEAM-550D05AB,TEAM-839B22B8,80,20,7,24,67,2,2,71,0,0
176960838690839.0,TEAM-7273A887,TEAM-D069E7F8,56,44,1,11,67,4,3,100,0,0
39897857430038.0,TEAM-B2118D2C,,56,44,7,13,25,1,1,42,0,0
279785200613578.0,TEAM-720795A0,TEAM-0587F59E,50,50,2,5,14,2,1,0,0,0
245703247296334.0,,TEAM-93330B41,52,48,2,6,46,6,4,50,0,0
166177493963192.0,TEAM-A415D192,TEAM-7C631724,59,41,7,23,46,6,6,100,0,0
192878076068502.0,TEAM-BDDFCDFA,TEAM-0E077100,71,29,2,17,50,2,1,50,0,0
74680842636688.0,,TEAM-720795A0,56,44,3,10,33,2,2,100,0,0
69120326331271.0,TEAM-1C981597,TEAM-782246EA,44,56,3,13,33,6,5,66,0,0
133721547304901.0,TEAM-839B22B8,,47,53,7,16,43,3,3,57,0,0
27391270321084.0,TEAM-93330B41,TEAM-B2118D2C,53,47,8,18,36,5,5,75,0,0
152078070885886.0,TEAM-51EA86E0,,51,49,2,9,43,6,3,100,0,0
218009564880358.0,TEAM-27AC674B,TEAM-550D05AB,21,80,5,14,26,5,2,100,0,0
36014485551528.0,TEAM-A4EC0F45,TEAM-A415D192,47,54,6,18,44,8,8,33,0,0
189983524250623.0,TEAM-7C631724,TEAM-7273A887,49,51,8,19,20,3,3,50,0,0
77248874686176.0,TEAM-0587F59E,TEAM-D069E7F8,65,35,7,17,50,5,3,85,0,0
246802500144824.0,TEAM-A415D192,TEAM-7273A887,60,40,4,13,33,4,3,75,0,0
80106586136167.0,TEAM-720795A0,TEAM-BDDFCDFA,40,60,6,12,31,5,4,33,0,0
262558802025525.0,TEAM-839B22B8,TEAM-0587F59E,49,51,4,11,38,6,5,75,0,0
42089493261609.0,TEAM-A4EC0F45,TEAM-27AC674B,78,22,2,15,33,4,1,50,0,0
5927245218557.0,TEAM-D069E7F8,TEAM-550D05AB,31,69,7,14,40,6,4,85,0,0
22651788528907.0,TEAM-B2118D2C,TEAM-1C981597,65,36,7,15,67,4,1,85,0,0
73838000687415.0,TEAM-93330B41,TEAM-7C631724,61,39,9,19,38,5,4,44,0,0
85885216035168.0,TEAM-0E077100,TEAM-51EA86E0,49,51,2,9,44,4,3,50,0,0
271983229253589.0,,,57,43,7,18,33,6,5,85,0,0
217927695836100.0,TEAM-782246EA,,45,55,8,18,20,2,1,87,0,0
7319209009324.0,TEAM-7273A887,TEAM-782246EA,43,57,3,6,42,5,3,66,0,0
27836622027224.0,,TEAM-7C631724,42,58,3,13,40,6,5,66,0,0
134879013270729.0,TEAM-27AC674B,,44,56,4,11,31,5,4,25,0,0
146753782725831.0,TEAM-51EA86E0,TEAM-839B22B8,46,54,4,8,0,0,0,75,0,0
174114872050505.0,TEAM-BDDFCDFA,TEAM-A4EC0F45,39,61,4,16,20,1,0,75,0,0
17797721164414.0,TEAM-A415D192,TEAM-0E077100,53,47,5,14,22,2,1,60,0,0
195067591372973.0,TEAM-1C981597,TEAM-D069E7F8,49,51,2,8,16,3,2,50,0,0
57154172260964.0,TEAM-B2118D2C,TEAM-720795A0,59,41,2,7,78,7,6,100,0,0
97513167405980.0,TEAM-D069E7F8,TEAM-51EA86E0,49,51,2,14,57,4,2,100,0,0
120639064914438.0,TEAM-93330B41,TEAM-1C981597,70,30,11,26,0,0,0,81,0,0
100507923486561.0,TEAM-0E077100,TEAM-0587F59E,51,49,9,17,52,11,9,55,0,0
241289403551744.0,TEAM-839B22B8,,51,49,5,16,38,5,3,40,0,0
140509386351702.0,TEAM-7C631724,TEAM-27AC674B,60,40,6,15,33,3,3,66,0,0
49981878868916.0,TEAM-7273A887,TEAM-BDDFCDFA,55,45,3,14,14,1,0,100,0,0
114188927341603.0,,,54,46,6,23,0,0,0,66,0,0
151807189121311.0,TEAM-720795A0,TEAM-A415D192,49,51,7,11,21,3,3,57,0,0
229214180995221.0,TEAM-782246EA,TEAM-550D05AB,27,73,6,7,36,9,8,50,0,0
265862638998493.0,TEAM-A4EC0F45,TEAM-B2118D2C,50,50,5,10,32,8,6,60,0,0
122764594323375.0,TEAM-1C981597,TEAM-A4EC0F45,42,58,6,26,50,3,1,33,0,0
249209640712975.0,TEAM-A415D192,TEAM-839B22B8,67,33,4,11,36,5,3,75,0,0
266097448106403.0,TEAM-BDDFCDFA,TEAM-D069E7F8,47,53,5,10,38,6,5,40,0,0
59934689754353.0,TEAM-B2118D2C,TEAM-0587F59E,50,50,7,10,20,3,3,71,0,0
1723534310882.0,TEAM-27AC674B,TEAM-93330B41,42,58,1,8,29,4,2,100,0,0
87936432211056.0,,TEAM-0E077100,61,39,8,17,17,1,1,87,0,0
80696913913348.0,TEAM-550D05AB,,73,27,7,15,25,3,3,57,0,0
267070128393503.0,TEAM-782246EA,TEAM-720795A0,36,64,4,10,24,4,2,25,0,0
212324418555205.0,,TEAM-7C631724,45,56,9,17,22,4,3,77,0,0
249170157109194.0,TEAM-51EA86E0,TEAM-7273A887,69,31,4,13,25,2,1,75,0,0
211830410333780.0,TEAM-D069E7F8,,50,50,3,10,64,7,5,66,0,0
97738189384961.0,,TEAM-51EA86E0,34,66,4,8,11,1,1,75,0,0
88196758283503.0,TEAM-839B22B8,TEAM-27AC674B,47,53,5,15,80,4,2,40,0,0
213655822347260.0,TEAM-1C981597,,45,55,2,10,40,4,4,100,0,0
233084514322073.0,TEAM-A4EC0F45,TEAM-550D05AB,39,61,3,9,27,8,4,66,0,0
103873934296763.0,TEAM-93330B41,TEAM-A415D192,57,43,6,16,36,4,3,66,0,0
134449565887025.0,TEAM-7C631724,TEAM-BDDFCDFA,53,47,2,14,27,4,2,0,0,0
99010512310485.0,TEAM-7273A887,TEAM-720795A0,38,62,2,9,20,1,1,100,0,0
1981896096722.0,TEAM-0587F59E,TEAM-782246EA,55,45,4,19,75,6,4,75,0,0
71726453882620.0,TEAM-0E077100,TEAM-B2118D2C,33,67,7,11,33,5,4,28,0,0
58845994898066.0,TEAM-720795A0,TEAM-839B22B8,57,43,4,18,25,2,0,75,0,0
123845363308532.0,TEAM-550D05AB,TEAM-0E077100,76,24,7,24,44,4,4,57,0,0
31635900754577.0,TEAM-782246EA,TEAM-A4EC0F45,34,66,3,11,45,5,4,0,0,0
96380130563499.0,,TEAM-7273A887,60,40,5,13,29,5,3,100,0,0
37099678724814.0,TEAM-0587F59E,TEAM-1C981597,55,45,7,22,50,3,1,42,0,0
249165185143039.0,TEAM-B2118D2C,TEAM-51EA86E0,51,49,3,11,40,6,4,66,0,0
238364193930544.0,,TEAM-7C631724,65,35,5,10,50,4,3,100,0,0
224127150371417.0,TEAM-BDDFCDFA,TEAM-93330B41,40,60,0,7,55,6,4,0,0,0
182653505299194.0,TEAM-27AC674B,TEAM-D069E7F8,49,51,3,10,22,2,1,0,0,0
